mass1,mass2,time,snr
9.0,9.0,1126259642.0107422,6.941632711793532
9.1,9.0,1126259642.0107422,6.747525780948984
9.2,9.0,1126259642.0107422,6.790457860895974
9.3,9.0,1126259642.0107422,7.120382283423137
9.4,9.0,1126259642.0107422,7.45394319431249
9.5,9.0,1126259642.0107422,7.861905816754667
9.6,9.0,1126259642.010254,8.347657085915296
9.7,9.0,1126259642.010254,8.853267772537231
9.8,9.0,1126259642.010254,9.338525803142886
9.9,9.0,1126259642.0097656,9.605552344435262
10.0,9.0,1126259642.0097656,9.901432366382021
10.1,9.0,1126259642.0092773,10.33483888539207
10.2,9.0,1126259642.008789,10.612908015928657
10.3,9.0,1126259642.0083008,10.970863638511597
10.4,9.0,1126259642.0078125,11.238110423603496
10.5,9.0,1126259642.0073242,11.372579704035171
10.6,9.0,1126259642.0073242,11.332466274241543
10.7,9.0,1126259642.006836,11.289061382764462
10.8,9.0,1126259642.0058594,11.208841197255696
10.9,9.0,1126259642.0048828,11.363465320977683
11.0,9.0,1126259642.0043945,11.366997834888585
9.1,9.1,1126259642.0107422,6.79074254440397
9.2,9.1,1126259642.0107422,7.126612697104863
9.3,9.1,1126259642.0107422,7.4448302155386346
9.4,9.1,1126259642.0107422,7.84912813783591
9.5,9.1,1126259642.010254,8.394011193735711
9.6,9.1,1126259642.010254,8.907561423345866
9.7,9.1,1126259642.010254,9.383211896223559
9.8,9.1,1126259642.0097656,9.641591207687435
9.9,9.1,1126259642.0097656,9.948430741857717
10.0,9.1,1126259642.008789,10.37235212128902
10.1,9.1,1126259642.008789,10.646777076633125
10.2,9.1,1126259642.0083008,11.010815065788668
10.3,9.1,1126259642.0078125,11.276084098871504
10.4,9.1,1126259642.0073242,11.419376879333027
10.5,9.1,1126259642.0073242,11.37853413012634
10.6,9.1,1126259642.006836,11.292402898981225
10.7,9.1,1126259642.0058594,11.214830180983391
10.8,9.1,1126259642.0048828,11.344084388561592
10.9,9.1,1126259642.0043945,11.350843608544103
11.0,9.1,1126259642.0039062,11.154524247646997
9.2,9.2,1126259642.0107422,7.44591778567302
9.3,9.2,1126259642.0107422,7.8646887682219715
9.4,9.2,1126259642.010254,8.390103812331613
9.5,9.2,1126259642.010254,8.930207229793146
9.6,9.2,1126259642.010254,9.41703652134913
9.7,9.2,1126259642.0097656,9.704294050840772
9.8,9.2,1126259642.0092773,10.000038369689937
9.9,9.2,1126259642.008789,10.393834415276
10.0,9.2,1126259642.008789,10.646815283580617
10.1,9.2,1126259642.0083008,11.067706498312626
10.2,9.2,1126259642.0078125,11.320038403989399
10.3,9.2,1126259642.0073242,11.481104290940069
10.4,9.2,1126259642.006836,11.4041686312988
10.5,9.2,1126259642.006836,11.298776376706728
10.6,9.2,1126259642.0058594,11.23396005147054
10.7,9.2,1126259642.0048828,11.320901245091424
10.8,9.2,1126259642.0043945,11.358978567095084
10.9,9.2,1126259642.0039062,11.131854444173337
11.0,9.2,1126259642.0039062,10.719014846797068
9.3,9.3,1126259642.010254,8.392048067241495
9.4,9.3,1126259642.010254,8.935227831135254
9.5,9.3,1126259642.010254,9.410336661514005
9.6,9.3,1126259642.0097656,9.714661787119963
9.7,9.3,1126259642.0097656,10.027262679684261
9.8,9.3,1126259642.008789,10.417856437595475
9.9,9.3,1126259642.0083008,10.654961463519953
10.0,9.3,1126259642.0083008,11.080886151609883
10.1,9.3,1126259642.0078125,11.340893769914594
10.2,9.3,1126259642.0073242,11.518596922499686
10.3,9.3,1126259642.006836,11.407764818174853
10.4,9.3,1126259642.0063477,11.289867942264175
10.5,9.3,1126259642.005371,11.235300934720481
10.6,9.3,1126259642.0043945,11.28815295352168
10.7,9.3,1126259642.0043945,11.34756331209572
10.8,9.3,1126259642.0039062,11.090050816270782
10.9,9.3,1126259642.003418,10.662505895778628
11.0,9.3,1126259642.0024414,10.425885736165206
9.4,9.4,1126259642.010254,9.40472438806256
9.5,9.4,1126259642.0097656,9.725509867240733
9.6,9.4,1126259642.0092773,10.053361095183392
9.7,9.4,1126259642.008789,10.43129887962833
9.8,9.4,1126259642.008789,10.667203392169979
9.9,9.4,1126259642.0083008,11.074410055806975
10.0,9.4,1126259642.0078125,11.321537531229493
10.1,9.4,1126259642.0073242,11.528129928915394
10.2,9.4,1126259642.006836,11.418387070373074
10.3,9.4,1126259642.0063477,11.286419218357462
10.4,9.4,1126259642.0048828,11.265882894846696
10.5,9.4,1126259642.0048828,11.286231732542085
10.6,9.4,1126259642.0043945,11.31044740582934
10.7,9.4,1126259642.0039062,11.04433577351913
10.8,9.4,1126259642.003418,10.638401473426567
10.9,9.4,1126259642.0024414,10.376402643098897
11.0,9.4,1126259642.0024414,10.074850286436698
9.5,9.5,1126259642.0092773,10.067973757102887
9.6,9.5,1126259642.008789,10.448579870303917
9.7,9.5,1126259642.008789,10.679927540652354
9.8,9.5,1126259642.0083008,11.075355238714018
9.9,9.5,1126259642.0078125,11.305217126774467
10.0,9.5,1126259642.0073242,11.507537332690326
10.1,9.5,1126259642.006836,11.418660380517656
10.2,9.5,1126259642.0063477,11.27085773971209
10.3,9.5,1126259642.0048828,11.282563223492833
10.4,9.5,1126259642.0043945,11.305678379353607
10.5,9.5,1126259642.0043945,11.298915110010787
10.6,9.5,1126259642.0039062,10.986790014677222
10.7,9.5,1126259642.003418,10.627341505330813
10.8,9.5,1126259642.0024414,10.35970579859485
10.9,9.5,1126259642.0019531,10.038601309814789
11.0,9.5,1126259641.9995117,9.740768020608924
9.6,9.6,1126259642.008789,10.681345767589898
9.7,9.6,1126259642.0083008,11.084598657724497
9.8,9.6,1126259642.0078125,11.290279480577928
9.9,9.6,1126259642.0073242,11.505656387739691
10.0,9.6,1126259642.006836,11.42575452520377
10.1,9.6,1126259642.0063477,11.26341635434524
10.2,9.6,1126259642.0048828,11.301065713227441
10.3,9.6,1126259642.0043945,11.327336883576871
10.4,9.6,1126259642.0043945,11.290066875794462
10.5,9.6,1126259642.0039062,10.932621960443829
10.6,9.6,1126259642.0029297,10.60776293185007
10.7,9.6,1126259642.0024414,10.352276888472684
10.8,9.6,1126259642.0019531,10.007741827011843
10.9,9.6,1126259641.9995117,9.700840830061777
11.0,9.6,1126259641.9980469,9.638658406052336
9.7,9.7,1126259642.0078125,11.289856152545925
9.8,9.7,1126259642.0073242,11.499486808359567
9.9,9.7,1126259642.006836,11.416568556857545
10.0,9.7,1126259642.0063477,11.256598624065065
10.1,9.7,1126259642.0048828,11.312865044549051
10.2,9.7,1126259642.0043945,11.337749765040533
10.3,9.7,1126259642.0043945,11.271276917975172
10.4,9.7,1126259642.0039062,10.901323799903682
10.5,9.7,1126259642.0029297,10.5988497848557
10.6,9.7,1126259642.0024414,10.34923747545288
10.7,9.7,1126259642.0019531,9.978337921019522
10.8,9.7,1126259641.9995117,9.660584941436449
10.9,9.7,1126259641.9980469,9.63741457747056
11.0,9.7,1126259641.9980469,9.466776840734415
9.8,9.8,1126259642.006836,11.415410285610307
9.9,9.8,1126259642.0063477,11.259227079386685
10.0,9.8,1126259642.0048828,11.321991790766313
10.1,9.8,1126259642.0043945,11.346625833404875
10.2,9.8,1126259642.0043945,11.262951140559391
10.3,9.8,1126259642.0039062,10.878986140059096
10.4,9.8,1126259642.0029297,10.575480624281196
10.5,9.8,1126259642.0024414,10.333153292975489
10.6,9.8,1126259642.0019531,9.962467338699074
10.7,9.8,1126259641.9995117,9.658173824863741
10.8,9.8,1126259641.9980469,9.625082969442515
10.9,9.8,1126259641.9980469,9.441195978573763
11.0,9.8,1126259641.9975586,9.29343896516782
9.9,9.9,1126259642.0048828,11.324336042778604
10.0,9.9,1126259642.0043945,11.352374664855342
10.1,9.9,1126259642.0043945,11.255465746095092
10.2,9.9,1126259642.0039062,10.86804100905481
10.3,9.9,1126259642.0029297,10.563222208868757
10.4,9.9,1126259642.0024414,10.30471687504385
10.5,9.9,1126259642.0019531,9.93716242839461
10.6,9.9,1126259641.9995117,9.666762841602363
10.7,9.9,1126259641.9980469,9.614030414017067
10.8,9.9,1126259641.9975586,9.413172495550464
10.9,9.9,1126259641.9975586,9.247988512442886
11.0,9.9,1126259641.9970703,8.940753705451646
10.0,10.0,1126259642.0043945,11.252394961342445
10.1,10.0,1126259642.0039062,10.862985555669244
10.2,10.0,1126259642.0029297,10.551979911342519
10.3,10.0,1126259642.0024414,10.283012124005726
10.4,10.0,1126259642.0019531,9.919515015672399
10.5,10.0,1126259641.9995117,9.665329059917804
10.6,10.0,1126259641.9980469,9.59118398292431
10.7,10.0,1126259641.9975586,9.392235326875824
10.8,10.0,1126259641.9975586,9.210964960882945
10.9,10.0,1126259641.9970703,8.895894965779865
11.0,10.0,1126259641.9926758,8.606262308765658
10.1,10.1,1126259642.0029297,10.547291783262638
10.2,10.1,1126259642.0024414,10.275127233967261
10.3,10.1,1126259642.0019531,9.902251299602737
10.4,10.1,1126259641.9995117,9.667166625865628
10.5,10.1,1126259641.9980469,9.593719311212086
10.6,10.1,1126259641.9975586,9.388930495625738
10.7,10.1,1126259641.9975586,9.18951189714093
10.8,10.1,1126259641.9970703,8.882340761531047
10.9,10.1,1126259641.9926758,8.597997308673078
11.0,10.1,1126259641.9921875,8.439641148531496
10.2,10.2,1126259642.0019531,9.894438471627522
10.3,10.2,1126259641.9995117,9.672933996676267
10.4,10.2,1126259641.9980469,9.591658194479493
10.5,10.2,1126259641.9975586,9.374721032344484
10.6,10.2,1126259641.9975586,9.172854603025302
10.7,10.2,1126259641.9970703,8.860171056374075
10.8,10.2,1126259641.9926758,8.582861217063087
10.9,10.2,1126259641.9921875,8.429118653897836
11.0,10.2,1126259641.9921875,8.366492439230045
10.3,10.3,1126259641.9980469,9.58935995322156
10.4,10.3,1126259641.9975586,9.36481855460485
10.5,10.3,1126259641.9975586,9.17217104328244
10.6,10.3,1126259641.9970703,8.855269438192844
10.7,10.3,1126259641.9926758,8.583795643902276
10.8,10.3,1126259641.9921875,8.4227222754633
10.9,10.3,1126259641.9921875,8.343903854974567
11.0,10.3,1126259641.9907227,8.237687666632258
10.4,10.4,1126259641.9975586,9.17209164889537
10.5,10.4,1126259641.9970703,8.85479145355622
10.6,10.4,1126259641.9926758,8.58235806165106
10.7,10.4,1126259641.9921875,8.426009139704394
10.8,10.4,1126259641.9921875,8.333854127984779
10.9,10.4,1126259641.9907227,8.227881433061563
11.0,10.4,1126259641.9902344,8.113487894186475
10.5,10.5,1126259641.9926758,8.580909741709563
10.6,10.5,1126259641.9921875,8.42803920198921
10.7,10.5,1126259641.9921875,8.328736251117862
10.8,10.5,1126259641.9907227,8.223629337928479
10.9,10.5,1126259641.9902344,8.105268689837041
11.0,10.5,1126259641.9902344,8.005074375721861
10.6,10.6,1126259641.9921875,8.32666082277231
10.7,10.6,1126259641.9907227,8.222710272571296
10.8,10.6,1126259641.9902344,8.099978594315767
10.9,10.6,1126259641.9902344,8.011185825275765
11.0,10.6,1126259641.9902344,7.6259736491219945
10.7,10.7,1126259641.9902344,8.098640990086293
10.8,10.7,1126259641.9902344,8.012563531795221
10.9,10.7,1126259641.9902344,7.614661182198502
11.0,10.7,1126259641.9902344,7.265933208152935
10.8,10.8,1126259641.9902344,7.610799631552461
10.9,10.8,1126259641.9902344,7.258846597790614
11.0,10.8,1126259641.989746,6.91498477009971
10.9,10.9,1126259641.989746,6.913169223002273
11.0,10.9,1126259641.9833984,6.69321099871899
11.0,11.0,1126259641.9707031,6.60882123399575
